"store", "websites", "attribute_set", "type", "category_ids", "sku", "has_options", "price", "cost", "weight", "special_price", "msrp", "name", "meta_title", "meta_description", "image", "small_image", "url_key", "thumbnail", "model", "gift_message_available", "url_path", "custom_design", "options_container", "page_layout", "country_of_manufacture", "msrp_enabled", "msrp_display_actual_price_type", "voltage", "torque", "rpm", "chuck_settings", "chuck_size", "tool_lenght", "shipping_weight", "battery", "description", "meta_keyword", "short_description", "custom_layout_update", "manufacturer", "color", "status", "tax_class_id", "visibility", "enable_googlecheckout", "is_recurring", "is_imported", "special_from_date", "special_to_date", "custom_design_from", "custom_design_to", "news_from_date", "news_to_date", "qty", "min_qty", "use_config_min_qty", "is_qty_decimal", "backorders", "use_config_backorders", "min_sale_qty", "use_config_min_sale_qty", "max_sale_qty", "use_config_max_sale_qty", "is_in_stock", "low_stock_date", "notify_stock_qty", "use_config_notify_stock_qty", "manage_stock", "use_config_manage_stock", "stock_status_changed_auto", "use_config_qty_increments", "qty_increments", "use_config_enable_qty_inc", "enable_qty_increments", "stock_status_changed_automatically", "use_config_enable_qty_increments", "product_name", "store_id", "product_type_id", "product_status_changed", "product_changed_websites"
"admin", "base", "Cordless Tool", "simple", "150", "MK9031", "0", "249", "", "1.0000", "", "", "Makita BELT SANDER 1-1/8X21" 9031", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "BELT SANDER 1-1/8X21" MK9031", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9032", "0", "249", "", "1.0000", "", "", "Makita BELT SANDER 3/8X21" 9032", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "BELT SANDER 3/8X21" MK9032", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9227C", "0", "199", "", "1.0000", "", "", "Makita SANDER/POLISHER EVS 9227C", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "SANDER/POLISHER EVS MK9227C", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9404", "0", "249", "", "1.0000", "", "", "Makita BELT SANDER 4 X 24" 9404", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "BELT SANDER 4 X 24" MK9404", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9557NB", "0", "69", "", "1.0000", "", "", "Makita GRINDER 4-1/2" W/GUARD 9557NB", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "GRINDER 4-1/2" W/GUARD MK9557NB", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9557PB", "0", "89.39", "", "1.0000", "", "", "Makita GRINDER - 4-1/2 W/GRD PDL 9557PB", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "GRINDER - 4-1/2 W/GRD PDL MK9557PB", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9564CV", "0", "159", "", "1.0000", "", "", "Makita GRINDER 4-1/2" W/GUARD 9564CV", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "GRINDER 4-1/2" W/GUARD MK9564CV", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9564PC", "0", "159", "", "1.0000", "", "", "Makita GRINDER - 4-1/2" SJS 9564PC", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "GRINDER - 4-1/2" SJS MK9564PC", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9920", "0", "239", "", "1.0000", "", "", "Makita BELT SANDER 3 X 24" VS 9920", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "BELT SANDER 3 X 24" VS MK9920", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
"admin", "base", "Cordless Tool", "simple", "150", "MK9924DB", "0", "229", "", "1.0000", "", "", "Makita BELT SANDER 3 X 24" 9924DB", "", "", "", "", "default-url-key", "", "DEFAULT_MODEL", "No", "default-url-key.html", "", "Block after Info Column", "No layout updates", " ", "Use config", "Use config", "", "", "", "", "", "", "", "", "BELT SANDER 3 X 24" MK9924DB", "", "DEFAULT_SHORT_DESCRIPTION", "", "", "", "Disabled", "default", "Not Visible Individually", "Yes", "No", "No", "", "", "", "", "", "", "100.0000", "0.0000", "1", "0", "0", "1", "1.0000", "1", "0.0000", "1", "1", "", "0.0000", "1", "0", "1", "0", "1", "0.0000", "1", "0", "0", "1", "Default Name", "0", "simple", "", ""
